"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"928","25_10_2000_4",10,2000,4,2.38333333333333,0.0272727138088578,0,0.0106060553519813,-3.61646527475834e-05,22.9341058064948,143,928,0.108620849011816,0.221958024277389,6.03000015,1.23214080623085,-0.00963306154577855
"929","25_11_1000_8",11,1000,8,0.5,0.0434265813869463,0,0.0168881149347319,-5.9688100236821e-06,11.8658556075227,30,929,0.0669313894408918,0.785664325517483,6.119999997,-1.22971533220284,1.21256162207486
"930","25_11_1500_0",11,1500,0,0.466666666666667,0.0432167637902098,0,0.0168065192237762,-4.25271883198741e-05,3.59793771055295,28,930,0.00368610407354451,0.195314720044289,1.439999901,0.0012127370140067,-1.23182774516642
"931","25_11_1500_4",11,1500,4,0.55,0.030419596044289,0,0.0118298428508158,1.9375656210574e-06,8.2668968144065,33,931,0.019742740439094,0.215244732631702,1.530000083,0.0012127370140067,-0.00963306154577855
"932","25_11_2000_8",11,2000,8,0.716666666666667,0.0216083683310023,0.090000182,0.0084032542074592,0.000104662737939762,13.5998641610964,43,932,0.0372071518867253,0.161328640384615,1.170000024,1.23214080623085,1.21256162207486
"933","25_12_1000_4",12,1000,4,0.35,0.0476223491841491,0,0.0185198023822844,2.54453875543903e-05,6.66107005536982,21,933,0.0211408477260702,0.818601405212121,8.099999987,-1.22971533220284,-0.00963306154577855
"934","25_12_1500_0",12,1500,0,0.483333333333333,0.0327272746386946,0.090000015,0.0127272734475524,-1.80818235441249e-05,3.73496864078857,29,934,0.00410296936637231,0.382657305407925,3.960000314,0.0012127370140067,-1.23182774516642
"935","25_12_2000_0",12,2000,0,0.716666666666667,0.0486713038694638,0,0.0189277292634033,1.39900237318136e-05,5.60005608062605,43,935,0.0067269582256627,0.3583216772331,3.690000102,1.23214080623085,-1.23182774516642
"936","25_12_2000_8",12,2000,8,0.416666666666667,0.0392307487296037,0,0.0152564022354312,-5.25183919395378e-05,11.1994134915745,25,936,0.0252020166041782,0.503916076,7.200000007,1.23214080623085,1.21256162207486
"937","25_2_1000_0",2,1000,0,0.5,0.0304196014312354,0,0.011829845051282,7.09213543670373e-06,3.86605283251892,30,937,0.00667684586994788,0.240209805748252,2.249999866,-1.22971533220284,-1.23182774516642
"938","25_2_1000_8",2,1000,8,0.6,0.0392307487296037,0,0.0152564022354312,-6.3603186461203e-06,12.6656810653246,36,938,0.0765112003065903,0.20769230539627,2.969999816,-1.22971533220284,1.21256162207486
"939","25_2_1500_0",2,1500,0,0.8,0.0274824967389277,0.18000003,0.0106876374638695,0.000111146423677599,6.26712638765633,48,939,0.0110763509420319,0.104265741531469,1.530000083,0.0012127370140067,-1.23182774516642
"940","25_2_2000_0",2,2000,0,0.583333333333333,0.0406993386037296,0,0.0158275205501165,-2.48633208039806e-05,4.53206213794862,35,940,0.00591926376097202,0.127132870377622,1.620000098,1.23214080623085,-1.23182774516642
"941","25_2_2000_8",2,2000,8,0.45,0.0402797097435897,0.090000015,0.0156643315011655,5.05483021029374e-06,11.4699211767411,27,941,0.0261973467487619,0.220279725025641,1.889999964,1.23214080623085,1.21256162207486
"942","25_3_1000_4",3,1000,4,0.55,0.0220279697202797,-1.709999945,0.00856643276223775,-0.00287137979047417,8.26671740674701,33,942,0.0290497350199176,0.681188849792541,12.32999967,-1.22971533220284,-0.00963306154577855
"943","25_3_1500_4",3,1500,4,0.4,0.0234965308321678,0,0.00913753967132866,2.3138663212352e-05,7.06689142137662,24,943,0.0141694646292738,0.40027966179022,3.24000007,0.0012127370140067,-0.00963306154577855
"944","25_3_1500_8",3,1500,8,0.516666666666667,0.0224475512867133,-0.359999996,0.00872960338927738,-0.00119702760773865,11.9990376528936,31,944,0.0420023406564168,0.296223760573427,3.419999869,0.0012127370140067,1.21256162207486
"945","25_3_2000_4",3,2000,4,2.16666666666667,0.0287412635314685,0.270000044,0.0111771580722611,0.00775018128401372,21.1986933735822,130,945,0.0997734513192624,0.429860123561772,6.840000115,1.23214080623085,-0.00963306154577855
"946","25_4_1000_0",4,1000,0,0.733333333333333,0.021608415020979,0,0.00840327244755244,8.74403852240135e-05,5.73294025734934,44,946,0.0151847901531111,0.548391636636364,6.93000013,-1.22971533220284,-1.23182774516642
"947","25_4_1000_4",4,1000,4,0.55,0.0333566628904428,0,0.0129720355524475,-1.68049970594719e-06,8.26618727934624,33,947,0.0319068368456048,0.485874081885781,9.360000361,-1.22971533220284,-0.00963306154577855
"948","25_4_1500_0",4,1500,0,1.1,0.0211888129370629,0,0.00824009396270396,-9.99818434088695e-05,8.66691083680015,66,948,0.0217161249500685,0.322027965477856,3.600000003,0.0012127370140067,-1.23182774516642
"949","25_4_1500_8",4,1500,8,0.616666666666667,0.0532866893170163,0,0.0207226013473193,1.55765104583594e-05,12.7994102740477,37,949,0.0495093707598403,0.687062937888112,8.460000046,0.0012127370140067,1.21256162207486
"950","25_4_2000_0",4,2000,0,1,0.0255944098391608,0,0.00995338155710956,-2.11013729090048e-05,7.86072908545673,60,950,0.0151721429270106,0.591398582589744,7.020000312,1.23214080623085,-1.23182774516642
"951","25_4_2000_8",4,2000,8,0.666666666666667,0.0241258746013986,0.089999847,0.0093822846083916,-4.16735666072254e-05,13.200373653114,40,951,0.0348879637341782,0.489440559876457,6.749999933,1.23214080623085,1.21256162207486
"952","25_5_1500_8",5,1500,8,0.0666666666666667,0.0222377244335664,0,0.00864800406993007,-2.46941867595996e-06,8.39822308048001,4,952,0.0204261328525002,0.563496488815851,10.79999976,0.0012127370140067,1.21256162207486
"953","25_5_2000_4",5,2000,4,1.33333333333333,0.0228671104102564,0,0.00889276516317015,-4.7833311972667e-05,14.5269318656183,80,953,0.043205080170334,0.433216726629371,6.03000015,1.23214080623085,-0.00963306154577855
"954","25_5_2000_8",5,2000,8,0.983333333333333,0.0310489213496503,0.089999847,0.0120745804778555,2.01716416114994e-05,15.7328548445601,59,954,0.0496210979371166,0.526573524701632,6.929999962,1.23214080623085,1.21256162207486
"955","25_6_1000_0",6,1000,0,0.483333333333333,0.0205594457482518,-0.360000059,0.00799534003729604,-0.00235686226553489,3.73277082691595,29,955,0.00384720352659021,0.148321677228438,2.160000019,-1.22971533220284,-1.23182774516642
"956","25_6_1500_4",6,1500,4,0.566666666666667,0.037342655044289,0,0.0145221436013986,1.82693133354839e-06,8.40116031655889,34,956,0.0204752615659201,0.191538487498835,2.700000107,0.0012127370140067,-0.00963306154577855
"957","25_6_2000_0",6,2000,0,0.766666666666667,0.0417481832214452,0.089999512,0.0162354045477855,0.000173741945384887,5.99534522902586,46,957,0.0105239880943245,0.11853148681352,1.169999689,1.23214080623085,-1.23182774516642
"958","25_6_2000_4",6,2000,4,0.05,0.032517457783217,0,0.0126456780559442,-2.21817265140117e-05,4.26604674249545,3,958,0.00519650086068267,0.228671330885781,2.69999994,1.23214080623085,-0.00963306154577855
"959","25_7_1500_4",7,1500,4,0.35,0.0335664585827505,0,0.0130536227692308,1.27069949745484e-05,6.66649270539791,21,959,0.0124843327625598,0.430279715543124,3.24000007,0.0012127370140067,-0.00963306154577855
"960","25_7_2000_0",7,2000,0,0.383333333333333,0.0467832043100233,0,0.0181934683100233,-2.41627989207571e-05,2.93279295599508,23,960,0.00156863988321739,0.236014004710956,2.160000019,1.23214080623085,-1.23182774516642
"961","25_7_2000_4",7,2000,4,0.466666666666667,0.0474125468181818,0.089999847,0.0184382127132867,4.80811302379092e-05,7.59404134940521,28,961,0.0146407589179411,0.189860155678322,1.439999901,1.23214080623085,-0.00963306154577855
"962","25_7_2000_8",7,2000,8,0.3,0.0316782718065268,0,0.0123193278857809,-4.43410898177954e-06,10.2644707680531,18,962,0.0215784207537018,0.285314609333333,2.519999743,1.23214080623085,1.21256162207486
"963","25_8_1000_0",8,1000,0,0.766666666666667,0.0205594542097902,0.180000365,0.00799534326340326,0.000120233914309154,6.00149018335637,46,963,0.0168603039809205,0.0795103880815851,2.880000472,-1.22971533220284,-1.23182774516642
"964","25_8_1000_4",8,1000,4,0.516666666666667,0.0279021025524476,0.090000015,0.0108508176083916,-7.67048139713733e-05,8.00084247815929,31,964,0.0298194671103869,0.21566433383683,4.770000111,-1.22971533220284,-0.00963306154577855
"965","25_8_1000_8",8,1000,8,0.383333333333333,0.0274824966923077,0.089999847,0.0106876375104895,-1.46643084012188e-05,10.9340831342124,23,965,0.0565877353974883,0.183986010848485,3.600000255,-1.22971533220284,1.21256162207486
"966","25_8_2000_0",8,2000,0,3.36666666666667,0.0293706341421911,0.359999891,0.0114219132191142,0.0475364291647127,26.7994432179225,202,966,0.197697183942619,0.226573420615385,2.699999929,1.23214080623085,-1.23182774516642
"967","25_8_2000_8",8,2000,8,0.85,0.0205592322727273,0.180000365,0.00799525705827506,1.4350386803974e-05,14.6678210365214,51,967,0.0430357139484033,0.28006966306993,1.98000133,1.23214080623085,1.21256162207486
"968","25_9_1000_4",9,1000,4,0.366666666666667,0.0365034974592074,0,0.0141958045757576,-6.31391152064453e-06,6.80310364606961,22,968,0.021805566032687,0.18734265634965,2.700000065,-1.22971533220284,-0.00963306154577855
"969","25_9_1500_0",9,1500,0,0.916666666666667,0.0211888400839161,0,0.00824010448018648,0.000103457276953378,7.20036593929034,55,969,0.0148353718089273,0.103216784445221,1.61999993,0.0012127370140067,-1.23182774516642
"970","25_9_1500_8",9,1500,8,0.666666666666667,0.028321683020979,0,0.0110139877412587,-3.60818749399749e-05,13.1976874690272,40,970,0.0528072357840329,0.191538448524476,3.420000058,0.0012127370140067,1.21256162207486
"971","25_9_2000_8",9,2000,8,0.616666666666667,0.0287412611468531,0.090000015,0.0111771570862471,-3.08170966327737e-05,12.7999063161834,37,971,0.0328680929971449,0.205384605634033,2.24999995,1.23214080623085,1.21256162207486
"972","26_1_1000_0",1,1000,0,0.466666666666667,0.0216083915827506,0,0.00840326335664335,4.26101462619455e-06,3.59991362115227,28,972,0.00579423935957615,0.325174828881119,4.049999826,-1.22971533220284,-1.23182774516642
"973","26_1_1000_4",1,1000,4,0.516666666666667,0.0388112091958042,0,0.015093248037296,-1.52597892520978e-05,7.99975022841914,31,973,0.0298371672951465,0.247552469822844,2.879999969,-1.22971533220284,-0.00963306154577855
"974","26_1_1500_0",1,1500,0,0.583333333333333,0.0430069973379953,0,0.0167249434195804,1.08538993796592e-05,4.53349102916648,35,974,0.00551498310434827,0.476013986167832,3.869999964,0.0012127370140067,-1.23182774516642
"975","26_1_1500_8",1,1500,8,0.416666666666667,0.0245454432261072,0,0.0095454501258741,-2.12572621716145e-06,11.2002611355325,25,975,0.0373829354720329,0.538951050156177,5.039999862,0.0012127370140067,1.21256162207486
"976","26_1_2000_0",1,2000,0,0.6,0.0230769251398601,0,0.00897435971794871,-3.08440372834839e-05,4.66566396271487,36,976,0.00589476745300486,0.0981818168904429,1.350000012,1.23214080623085,-1.23182774516642
"977","26_10_1000_4",10,1000,4,0.583333333333333,0.0274825122517482,0.089999847,0.0106876436293706,-1.3793197714107e-05,8.53397985065005,35,977,0.0340608609846601,0.458811190111888,9.269999675,-1.22971533220284,-0.00963306154577855
"978","26_10_1500_4",10,1500,4,0.0166666666666667,0.0906293256083879,0.18000003,0.0352447377342643,0,4,1,978,0.00422078444527739,0.452937096214452,9.900000282,0.0012127370140067,-0.00963306154577855
"979","26_10_1500_8",10,1500,8,0.533333333333333,0.0650350531375289,-6.210000515,0.0252914095407924,-0.0137693697419254,12.1250979044535,32,979,0.0313504280967756,1.90699296715152,12.8700006,0.0012127370140067,1.21256162207486
"980","26_10_2000_8",10,2000,8,0.266666666666667,0.0279020849300699,0.089999847,0.0108508107902098,-2.06923044233781e-05,10.0007235746976,16,980,0.019919408863293,0.0927272926736597,1.350000054,1.23214080623085,1.21256162207486
"981","26_11_1500_4",11,1500,4,0.366666666666667,0.0392307956643356,0,0.0152564204755245,1.92618369312947e-05,6.79937609815017,22,981,0.0130239644330527,0.146013994328671,2.51999991,0.0012127370140067,-0.00963306154577855
"982","26_11_1500_8",11,1500,8,0.833333333333333,0.0392307267645687,0,0.0152563937505827,-2.91270086788531e-06,14.5313964482498,50,982,0.0648017067157819,0.244405580074592,2.249999866,0.0012127370140067,1.21256162207486
"983","26_11_2000_4",11,2000,4,1,0.0591608786503496,0,0.0230070082657342,-2.73986609322652e-06,11.8666796462907,60,983,0.0282677189845633,0.267902096909091,3.330000043,1.23214080623085,-0.00963306154577855
"984","26_12_1000_0",12,1000,0,0.7,0.021188820965035,0,0.00824009692773892,4.84432952707614e-05,5.46689371611711,42,984,0.0137609064610051,0.318461496034965,3.959999811,-1.22971533220284,-1.23182774516642
"985","26_12_1500_4",12,1500,4,0.383333333333333,0.0279020989883449,0,0.0108508162494172,-2.52328299266136e-06,6.92853848390115,23,985,0.0141320653220296,0.682867148846154,8.010000139,0.0012127370140067,-0.00963306154577855
